,O00170,Q08752,Q07020,Q05519,Q01105,P98179,P84090,P62877,P62277,P60174,P56134,P55036,P54709,P52209,P43487,P30520,P30050,P29966,P28074,Q07065,Q12797,P25789,Q13085,Q9NZN3,Q9NR12,Q9NPA8,Q9GZZ9,Q9BUN8,Q9BTT0,Q96BM9,Q92743,Q8NCA5,Q6PIU2,Q16643,Q14108,Q13630,Q13557,Q13442,Q13363,Q13347,P28070,P61026,P16949,P09110,P06703,P09669,P20645,P20042,P20020,O75955,O14979,O15118,P04264,O43252,O43670,P15531,Q13740,P04179,P22626,Q15057,P05023,P24534,Q12792,P02656,Q96A72,Q15257,O94973,O94855,Q08722,Q96S97,Q9H444,Q9NS69,Q9NZ01,O00622,Q9UHX1,P06753,Q9Y3U8,P11717,P10412,O00391,Q04917,P17301,Q01995,P35625,P08134,P49321,P62310,P11908,O60664,Q96HE7,Q9BU23,P07093,P48059,Q3SY69,Q02750,P29317,P11388,P27816,P68366,Inhi_5,pert_id,trial names
0,-0.7202620013014682,-0.25085064562065473,-0.5770297487314463,-0.17796841204195857,-0.24676890714823285,0.13581999832551395,-0.8821171409020572,-0.08863777631038668,-0.6513919391707471,-0.1652087769667743,0.06662125762779246,-0.2807855805791596,0.3974169672970372,0.00800527325028106,-0.15573449005401943,-0.3238454115637298,-0.36687117009892467,0.5914127337049743,-0.17722803135320062,0.19702544164023642,0.18577139835992065,-0.30950913334517255,-0.06373767945609081,-0.0713072710856003,0.06585975509418851,-0.7111679030475401,0.22943486298448046,0.20667362008734516,-0.18764892457327234,0.2664306753754429,-0.4179668153126171,0.06093284555780784,0.03396760615055994,0.2082346476037045,0.1973516758678049,-0.06848836365584325,0.1480290211318103,-0.1661419754397005,-0.42103476903995357,-0.17911931456801253,0.12684357396066911,0.24627110883013292,0.027901066307957818,-0.40649551022499475,0.16097346167475698,0.31954682813579627,0.0894500581491593,-0.31494898404324023,-0.18553472008431238,0.016098479156841167,-0.23501756438000387,-0.2497874917165831,1.8162149223539086,-0.12202551713004921,-0.039024092839600975,-0.11975205712810667,0.4807950325775827,-0.2448713383953054,-0.09779510663323558,1.0496539060191379,0.1770942405423647,-0.08314625138530306,-0.5850782653010476,1.586795756663762,-0.009378413622823253,-0.2626799519407216,0.40396304171341296,-0.36552713259099034,0.19800182686530662,0.10914069292738537,-0.5035871836070783,-0.1547570103419751,0.2481192599872426,-0.3450621676784054,-0.7814931078943438,0.21664551796649753,-0.5567557015602308,0.9520121725652917,0.24389758655122243,-1.4670979068190484,0.013259832505668298,-0.4012222895111046,-0.11683022419523613,-0.41065987023778855,-0.2108996309150929,-0.0840851689780278,-0.1063139701567891,-0.053712524532816,-0.33981218870303653,0.39809768513809457,0.3558807133971745,0.46400875662980196,-0.4955050420789708,0.2513258272059841,-0.018956909667960403,0.4710643536043977,-0.04282101007518824,-0.07937368441974925,0.6996586559236523,1.28742563113041,10,Abemaciclib_10_24
3,0.08061852646611646,0.28520403723035115,-0.14225522692430534,-0.12412924821542937,-0.06878360873468682,0.18552396909088417,-0.057411787464964496,0.6609238287760512,-0.020699278657949304,-0.101427679791344,-0.1837120379245889,0.09070090836783891,0.20233629742077133,-0.010228112032825537,-0.12445340704411735,-0.05485908888536592,-0.10200693490881907,0.5271958817336428,0.14729508853800055,0.17445627174353592,0.30494343540880314,-0.30998299978551463,0.09148153956079692,-0.3335574276835053,0.11074323525973878,0.0118217503192898,0.14129246749261318,-0.16243250099430345,-0.33961480358052415,0.2941849954677053,-0.0657329250696866,0.3475157370901261,-0.08509436077541231,0.10356162481218578,-0.2270805825507253,0.407931581037232,0.017830140285558498,-0.08497359284720578,0.1657438875237853,0.04335019026094944,0.008939447144764542,0.03658581541306907,0.3067268800508192,0.05051905966197936,0.10143443029431702,-0.12032686354827134,-0.21706019614977104,-0.029882318400320462,0.5202108455816129,0.3170500784233939,0.1049310867399964,-0.31312666893332963,1.1963722480098407,0.07280838076989,-0.39494967051905094,-0.21045279366945335,0.3187443386249363,-0.23381334003163023,-0.10638872774537696,0.3989768320797986,0.16913085302508138,-0.3873918815785398,-0.020868995377880544,0.9414841952599463,-0.21302823389327527,0.2718207125612256,0.03390084207014279,-0.16892266857104218,0.1889477837995024,0.07942007266211039,-0.14309877121007045,-0.5770087655563502,0.14332412199794656,-0.30587446308737504,-0.363972387012691,0.1725859328300268,-0.027594979877415993,-0.3687641968200075,0.4065663247303745,-0.9120295126605503,-0.022966605934323998,0.18411795793613148,-0.10105140663376593,-0.8612154030462786,-0.30948531134960716,-0.17622607941354992,0.18626994284960016,-0.01372189426743938,-0.13817773420726864,0.12307112562330798,0.7101528289768044,0.377187325018667,-0.7432977915572114,-0.2628429693674226,-0.14752663169791227,0.17980362025646787,-0.07166576986050817,0.061073934497850695,0.8256785434286181,1.4663129120437401,8,Alpelisib_8_24
6,0.039124731115311645,0.097369203918374,-0.15638787565727977,0.11144558125812952,-0.26709465692349527,0.085825413576057,-0.8652182512785028,-0.008697418437688625,-0.0694672505820047,-0.10448364128174054,-0.19262287385179847,0.04826045460817879,0.4024738952967866,-0.06048775544064076,-0.2557024686324792,0.00029308054121285343,-0.045584735635774455,-0.4738547557268528,-0.02140637483997911,0.15800384429455958,0.14543231417879435,-0.03213127782828642,-0.06998444709041308,-0.02265413741581353,-0.5819247530736714,0.015654328285778063,0.07148843080816526,-0.10067158774383204,-0.06351563675800997,0.15004847138798047,-0.5033189202107956,0.3553599993860764,-0.03105291809097775,-0.5882559526859729,-0.3987541719997327,-0.11067457179274302,-0.022593036540465312,-0.14525007231145792,0.1553964034352721,0.05107269855945027,-0.173432671352448,0.3206729669637514,0.005566115271277511,-0.3743220804552773,-0.16904730066658635,-0.06822632231971132,-0.03299300255373993,-0.2316037846237957,0.28595961033539286,0.03229043624194492,0.05486539931285455,-0.2249793866832461,0.9338778757546914,-0.0245232311671519,-0.3126527032059348,-0.7580771447433275,0.10898853699784576,-0.1335845890687292,-0.2012560789662244,0.23855808825493963,0.23877229418773852,-0.39307368868858056,0.216044073689898,-0.035857501099251086,-0.22185594892550728,-0.3160488653289025,-0.4260539257816982,0.06739928443660101,-0.25285250546728705,0.06078777618342903,0.059478130476953085,-0.1653796107277926,-0.10160368862926017,-0.7183006399987265,-0.22890549478509295,-0.3889574310708959,-0.003395216950839164,0.17476369821183604,-0.1289243239304716,-0.6705620754290611,-0.2836710297559376,0.5000288547734808,-0.8431941581339614,-0.7790794377795174,-0.19032382870244313,-0.10686301560432215,0.15035877842251272,0.09732742751178602,-0.023948342934080102,-0.03615981256187384,0.11845969671538248,0.3407610414506606,-0.7389455128584638,-0.32643846503395213,-0.027559600517273613,0.00830906678444234,0.11206338780002434,-0.31180692455652675,0.4963189099677912,1.448152709,55,Anastrozole_55_24
9,0.010327081503645733,0.11478819913355938,-0.15500945864502394,0.24096725855501802,-0.23424145830159868,-0.029998549029135,-0.6829360864732071,0.5208810410585939,-0.131310809244915,-0.025949782206130072,0.04404653513633045,0.3557916233102456,0.2685179164145472,-0.031194859219785893,-0.4159874518256285,-0.11128348316642145,-0.025666199539701607,-0.19198172538788483,-0.1435827750136648,0.1201214535126016,0.13799742323041583,-0.03661683381415883,0.27660454410643104,-0.014020177448512602,-0.391507863723805,0.18707810702884242,0.06004441392775025,0.08168259894799967,0.09597462366141092,0.17930731361535487,-0.34796695793767324,0.19233009134974374,-0.21883916514272325,-0.39445617295263774,-0.36054850661585974,0.34908072450370337,0.3617985305360667,-0.4521097470657187,-0.01694825156932375,0.12286715267910664,0.036494659744999075,0.43561605211793286,0.22684432976203137,-0.09803275783638432,0.16746316905924477,-0.37023940003047145,-0.36890016460050984,-0.49739237987070356,-0.5499943411970891,-0.38497288549000247,-0.1926631485306198,-0.054681315763627746,0.22254032501349885,-0.11563793802408313,0.013719510420945324,-0.752749472857833,0.15568409873251585,0.11800145539058028,-0.06451693582289887,-0.5993906909493946,0.0627566206378194,-0.16351284835314078,0.41705789526865195,0.2571497692091828,-0.07330240987416106,-0.04757983133408783,-0.23024478796339642,-0.03304188182332444,0.025522240783281285,0.453319863885995,0.29594075936703995,-0.45124925418611544,0.3451181122196311,-0.3818643210053037,-0.2766630506584236,-0.14623513558902484,-0.036217597348424786,0.2070617480042487,-0.2675940475500016,0.5610092787989054,-0.1048950764125633,0.6295040818641203,-0.6798845616479837,-0.9937362493050091,-0.11283090222165677,-0.06330465965368459,0.27612017362800095,-0.6910273393326474,0.034183317327962814,0.18674214506388617,-0.22410205926451313,0.2903114863259976,-0.15397921926725813,0.09569841318968646,-0.293137486178263,0.25410654914778236,0.24140148087174929,-0.19304613845380392,0.14311074690873474,1.236982163,44,Bexarotene_44_24
12,-0.16898441576385181,-0.09173356030275459,-0.31550734008178277,-0.3495087856113868,-0.6485194584223216,-0.976532168589852,-0.8504538036070306,0.2076466383849409,-0.18461831292366884,-0.4146857210102091,-0.35748784675246476,-0.6423879613721181,0.5630630034557963,-0.24039311475918668,-0.21469957706807105,-0.2809800718673509,-0.03905547382775412,-0.06872861252789679,-0.39324330195165386,0.37160698681743515,0.3087642872316361,-0.5920770891411186,0.5226991476837867,-0.04795137618178616,-0.2839239457270201,-0.3423583043686398,-0.3402661662431958,0.03923146124762613,-0.12784991504893448,0.48950650690356473,-0.39134804498144593,0.419660255423231,-0.016358758860962292,-0.11699250468186284,-0.17409204427378513,0.1487407570822267,-0.6120598977994399,-0.6223281035553968,-0.5297571491467227,-0.21651106342308768,-0.45953251958461533,0.3558559816274154,-0.3881806747199648,0.34010145209508585,0.2778573764716991,-0.1086929091157063,0.2657321582533976,-0.18077436891450438,0.4073201074523065,-0.2315501971453403,-0.30642433952063497,0.17225864325447282,0.3959823457324898,0.09714905459848498,-0.4289551159177695,-0.6987142950237398,0.4051158346423825,-0.056121830434905005,-0.20508212589597616,1.099985697329582,0.36484491810743863,-0.26827081377474415,-0.4271436078740101,1.6264124351141032,-0.4818687443710237,-1.3006063948677407,0.031211283594807016,-0.17535285788851165,0.29578972452183505,-0.21320646405806354,-0.6498520671169045,-0.3069174696123844,0.33718178549905015,-0.2775899464324351,-0.658675655862803,-0.16240518309073831,-0.4856968683212104,0.09722119118390131,-0.27410597798259634,-0.5515247286807631,-0.4182814641017949,-0.020229341058318927,-0.5003532218711995,-0.6944164522417514,-0.28091721987375234,-0.47861635509572764,-0.2803551079182807,-0.23441256671279934,-0.2925969577075889,0.31313103930860003,1.1036984113797856,0.6626057203990011,-0.5077548143288486,0.198489866274673,-0.2826135940705044,-0.3734248321748906,0.019363308889221924,-0.4229317632883014,0.8390289860710922,1.08544595357684,26,Bosutinib_26_24
15,0.30512501214817256,-0.017472924720971467,0.005829131254307351,-0.05832229883371967,-0.3708310047116903,0.11861523648522286,-0.8644003907285963,0.4342370818876821,0.07575594894386693,-0.11269254059746163,0.03162563346729924,-0.0161809729546825,0.4578540461244984,-0.023491716179669154,-0.530244202542287,-0.24915019562523252,0.007659311855602482,-0.36132090217641183,-0.15015421558892936,0.14508325059592003,0.29680106875628287,-0.29936582904847253,0.2979575332487322,-0.029629711512972435,-0.520544374498166,-0.5362557885987141,0.3162474494871147,-0.039719396621593406,-0.26951685107838846,-0.057980071102895804,-0.9676420173891568,0.14696023071015443,0.1005814397551612,-0.29989842884646706,-0.1838316598112699,0.08998146724332949,-0.07192477719029583,-0.07812303818842026,0.3008702714025569,0.08846574555283769,-0.20699409864821952,0.07613650151920433,-0.141465483722212,-0.18343303680543113,0.17241366987237527,-0.3597104731949574,0.3144121312193528,-0.0013828683361072625,0.2512826601999351,-0.056547213576000226,-0.24096685644589522,-0.32791724144284856,0.5423590326680108,0.5748625869854952,-0.12694789138041046,-0.7615567162361904,0.1595184833639029,0.02864419957251556,-0.13865139487369124,0.27647941106162716,0.169794030250031,-0.3633871514680735,0.09651295589845638,0.5289243730981972,-0.39455843685925496,-0.3841263816813969,-0.19592585609362367,-0.16179605082301776,0.19592544899228745,0.03606544637746787,-0.09181403518085185,-0.33365283197702206,0.4157874552159266,-0.30259139944008057,-0.26646133635864094,-0.44218864910590067,-0.11437659458473863,0.26716716205493585,0.01840567834455989,-0.7678119039498991,-0.24357672596966728,0.4732533171616526,-0.7311593296410478,-0.608159112309313,-0.2148733892084362,-0.14342657847450532,0.1875061034542642,-0.08729523389184606,-0.08946108809878557,0.16381623877948762,0.47477809296514545,0.45435125898103074,-0.2441162380532508,0.08217633307908527,-0.33015909298200063,0.19223917998195986,0.1372219434384674,-0.2673074113579355,0.08230546036707882,1.189296429,73,Chlorambucil_73_24
18,0.25294697963291607,-0.38406295363277504,-0.2591004292108893,-0.09702527489725687,-0.3318925169554075,0.14677876431266026,-0.7319930314466188,0.6135231765048973,-0.11176897968270309,-0.17950787511420283,-0.21943309927086385,0.20522963445144046,0.15814802953238608,0.08138672900656682,-0.14104337700255576,-0.5660703396038556,-0.0835440984662701,0.6186103375133504,-0.04646481891387035,0.09296552132083291,0.06428088429036892,-0.20956790296713235,0.22065251111152043,-0.18198886972926498,0.08287078544209935,-0.30355943589978646,0.4490215198932573,-0.19779070456422618,-0.6370470711718053,-0.03339202174906485,0.08408291553010665,-0.09792248605244373,-0.12902319997899503,-0.05469544540258311,-0.42643982306497846,-0.01637343254973694,-0.23373801405229166,-0.4098415418140098,0.12328643897096925,-0.11006268083572361,-0.09095972603858282,0.14309580638857355,0.09233004292246345,-0.2923425368636359,-0.08260417371380181,0.025604179501814484,0.1190352625986389,-0.2718555326078084,-0.3535566481717162,-0.2589192350005334,-0.1261226371120503,-0.10843193446634429,-0.3340112153513541,-0.21181206293667784,-0.7662126786087926,-0.46527828567625834,0.5449298570468886,0.2634548445842712,-0.07782096953411737,0.045349559843327884,0.08772802113073698,-0.4446874006609202,0.06189911590369738,0.3665870859853004,-0.3135622096963885,-0.2303015125565321,-0.35044412501917005,-0.08575218025027075,0.0872820133582079,-0.4360131205713144,-0.040241109736835694,-0.4375939328088975,0.13039709167570537,-0.5470235904935211,-0.48384783450826463,-0.08779695880823525,-0.16267721140736463,0.05491753895531643,0.27830506488658696,-1.2689116770800766,-0.08977361621377805,-0.6802831787553844,-0.05851984783016461,-1.2798239415105142,-0.35697726102975463,-0.3575045878375955,0.07964566428741894,0.10252157346220249,-0.10072634697366507,-0.07236511909620934,0.23128621708303979,-0.03310018719158676,-0.8725865486382874,0.05569342366080146,-0.10786007546263915,-0.13367703231783856,-0.6752277024695434,-0.1331978388188997,-0.3372941694682754,1.43989314336598,17,Cobimetinib_17_24
21,-0.12382983168517438,0.2892200954493438,-0.2609830538289658,-0.391738994341513,-0.280164004146544,0.07704674942354646,-0.5570198443661883,0.42030008338841623,-0.13087106049470612,-0.0478004503017549,0.08659758751286722,0.1225514082226608,0.32110475111593834,0.0687409269171856,-0.4299984332895846,-0.2781116512312778,-0.10146221792537953,-0.5782859930757333,0.007020937474753315,0.33608246519242774,0.4160758939593685,-0.1371833419852419,-0.03027341268378131,-0.021908577911614404,-0.4523838515884952,-0.08872440272032704,0.20247984729270666,-0.28341689079985105,-0.16418016854066605,0.28698651963957095,-0.08910882951313774,0.11578892993845384,0.2855024552500251,-0.28618347586848486,-0.19023582351957927,0.28992809988107965,0.06120806084838993,-0.007063100383341579,0.05807609019374543,-0.16685333357594598,-0.015082942331069252,0.3535422720775773,-0.12890615332174848,0.29078130836194355,0.24713367483046553,0.27947593963267775,-0.09376734100516552,-0.14195953087538293,0.40989604041304456,0.11379368576577976,-0.15834401515172541,0.0348228877898095,1.74113485218876,0.23445713851511926,-0.3293258716508736,-0.5611504637446076,0.30053775849001796,0.5114271819541987,-0.1766681800233384,0.6742601165926011,0.3267137087029584,-0.3198401961833424,0.2548640216103614,1.176009193405714,-0.3430503011788437,-0.10976351873640418,0.12729752395232588,-0.013049713340555666,-0.02183911878548796,-0.380258976637701,-0.18084871434091263,-0.1677013107796476,0.17402739563829575,-0.7297377114045339,-0.43949246745355763,-0.6759986082870514,-0.2001131283422388,0.2387255637372846,-0.22040516291559642,-0.31035148063996854,-0.2912097762488292,0.40625075526505716,-0.6007277229344204,-0.5485836890819387,-0.188957845975232,-0.24124897840220308,-0.06877347201893406,-0.04599194697090033,0.07308358322137674,0.13929850724655563,0.4558822784227252,0.817267118410669,-0.35525529111698145,0.38577164276667303,-0.43420909694052656,0.2857674087542747,-0.16066737525299526,-0.24648359188148428,0.14775156058146974,0.8804682685999999,34,Dasatinib Hydrate_34_24
24,0.11382318496838285,-0.07443296934162433,-0.2655289492528749,0.015230658218980885,-0.4971430162554748,-0.05869322377188877,-0.7600286170585019,0.49973019348950265,-0.13636544914368462,-0.06820832743391696,-0.07803730412937372,0.11865881780550787,0.3182562402964359,-0.03833259728638507,-0.4545249601465698,-0.16395630066529598,-0.0959973293015437,-0.6899408590912236,-0.03476449005675374,0.32599643553032265,0.25186234309094396,-0.09094130081127887,0.14501070554946927,0.024967353738749403,-0.4326601667142702,-0.4347778233945236,0.20750236255826118,0.031011787926604455,-0.36263427665225384,0.21172827849122802,-0.22912465641564964,0.40274048279368607,0.09167135918488928,-0.37379502039098905,-0.2881787759511198,-0.2593646644606972,-0.1963466059907916,-0.23711253885431394,0.007433186703421297,0.05763401517822159,-0.24814648361708927,0.34282540299186043,-1.1044844865410293,0.037991810524937546,0.11673615229953567,0.43523376457730906,0.1565081861819707,0.008401769801112355,0.5111145888360511,0.3881148574803452,-0.022213341930469237,-0.13767241690113152,1.9899628985740374,0.11404000192702296,-0.46307431282320977,-0.7839323049842498,0.3026333976787094,0.28970246016828255,-0.24176619650083894,0.3342518856992052,0.3135978159821622,-0.5154688068205843,0.011986396163829516,0.7364389452606842,-0.4637486978536378,-0.3890764906912099,0.2805582018896907,0.008011483294057048,0.43480477124917255,-0.16742877867211203,-0.24442382363022794,-0.29962843950255375,0.19824358644949713,-0.11003507693359742,-0.4003435053904561,-0.4315805596907483,-0.2001541494029624,0.3378365643478635,-0.7865787136185958,-0.24242619007309138,-0.21296958422416937,0.682373923562754,-0.7257833437533173,-0.4528371148341992,-0.09516905596228613,-0.21091764114569933,-0.13086648071051568,-0.14911159098455773,-0.0420168065357697,0.06246183815894051,-0.1325160067740827,0.6443591814705655,0.1648706458855571,-0.02904318732026952,-0.07238372084781282,0.1028492548663913,0.6679099185919716,-0.20295025550079326,0.4790839268972467,0.9035098522,53,Docetaxel_53_24
27,0.07740108144635673,0.08451115513329237,-0.649107340434973,-0.355128176966989,-0.32163858396825185,-0.2043719514211084,-1.3384277770620354,-0.4461375528900622,-0.4214913399093705,-0.1027174670110265,0.13483307816198864,-0.11019725124508169,0.2743402440069407,0.03054431183715739,-0.27093541238491553,-0.1820239159522846,-0.34830588862506723,0.13077562235931273,-0.22191151761613348,0.5227844662379263,0.5109476347062237,-0.364620270571383,0.15434605697463946,0.2714867157192011,-0.15235816355495232,-1.2425319190663506,0.37419604953507335,0.33542746611246327,-0.07569556728562188,0.444225624605655,0.9735850808923243,0.08215667160484684,0.5210469514763021,-0.14469444167470422,-0.03552551950640211,0.24987656056247878,0.3384937317107665,-0.12442592201667552,0.0930611769326739,-0.06323416202995145,-0.4856123175813611,0.5887579228523042,-0.1331132013552159,0.21929254952384233,0.23056804968446146,0.21714316340516468,0.43504927538733895,0.12589888812113795,-0.22397600345748003,0.5971128167536759,-0.2891341787249429,-1.022290706104637,1.2317135098493797,0.22627129986527753,-1.0115609442270646,-0.7696023469193488,0.4130566648573861,-0.4869047409244547,-0.5462722557254787,0.5824807580230411,0.2166071757250452,-0.21389206476637046,-0.20171987194038968,0.8242365197607416,-0.4526353762964781,-0.3005779005209673,0.06723055551167956,0.05975126771828965,0.08806609228523381,0.18822865423713542,-0.020941873522872925,-0.23130254594681876,0.6313201917083854,0.022160333100975455,-0.6964833841673587,-0.3588681924861749,-0.654710409145781,-0.18603460528573565,-2.5545849908498273,-0.7301303774890792,-0.13001003547712556,0.037669093991860976,-0.06556334995330848,-0.17581523353925252,0.22928261599210517,-0.359218962788131,-0.33327676786357713,0.3201508928409016,-0.3022281981497663,0.3716712226589985,0.5218542944638482,0.8316121328773577,-0.3925646472103372,0.28884335849728054,-0.010910762456991055,0.010833537815479355,0.49874003365701314,-0.31624653398284175,-0.1133306655440397,1.1014220000000001,54,Doxorubicin_54_24
30,-0.04430800637701804,-0.22176963311914483,-0.353673273442839,-0.38127270954334697,-0.701691326716093,-0.1940139365406004,-0.7130289459616984,-0.0589276243451044,-0.14045808395787812,-0.584021251203643,-0.2999480131746465,-0.1902947494388025,0.5608093127390531,-0.48716278080349773,-0.4601017115793617,-0.19587782968578824,-0.2958407660548874,-0.0066538598651126775,-0.5128371185472936,0.29773909321061737,0.25875253771595647,-0.732777006749216,0.655831775148447,-0.2756121004130263,-0.6712876554828312,-0.5925580134457923,0.06049520844224628,0.6043206821570067,-0.5454067887455043,0.5582417876454002,0.5623774796513935,0.38847180478142934,0.23585180975681333,-0.48639760198093374,0.08224707592578435,0.04655160357818055,0.272853400998409,-0.4679839588869492,-0.548591431562938,-0.6800951951843559,-0.6410005343325637,0.46880952822709415,-0.6201480703783838,0.18468594739532326,0.06443927928630956,0.32307400639310485,0.45457208185335496,-0.6131684931168342,0.5487865014049413,0.4967011753633515,-0.1724580708658401,-0.03724163585388964,1.7045602219670475,0.13120348166311555,-0.9246864818046158,-0.8676830065059198,0.16106991749070151,-0.2877171658051558,-0.2470571302948786,0.4836499593340779,0.2830602230097598,-0.4935598998921959,-0.3037904409469898,2.0966112024524137,-0.13615669809519734,-0.9795845538548025,-0.37461761500198687,0.08736411555523656,0.12044698723704854,0.17195562656527189,-0.3154961171213179,-0.3660888350950325,0.43461147629928387,0.22696997068908045,-0.5877455957888376,-0.20561868504270864,-0.2954931463140362,0.0869940499664471,0.012806543630962822,0.020657726661871195,-0.800465316881803,-0.03366387509819566,-0.660681733363845,-0.20504542504707524,0.003724732562545389,-0.7400850941716866,-0.2834971496777193,-0.19371770286807263,-0.5239267648309722,0.08421666216877145,0.801152372714542,0.7900029557680969,-0.5455181851430213,0.11478493448905208,-0.3562268292185764,0.44018395658520965,0.7333679071589222,-0.6006602460514449,0.5402048371714158,0.9710564399421131,7,Entrectinib_7_24
32,-0.19292450922656532,0.10593529100727313,-0.11608979635056292,-0.04303748084083075,-0.20097187813302,0.07493495469008855,-0.72029040986186,0.1670130854290545,-0.2250197399403511,-0.1095384792920908,-0.032337870680276326,-0.09310382091575742,0.337562860489024,0.031152023075653845,-0.40139583867550616,-0.03678246050982597,-0.0951385405309882,0.14743915388830733,-0.05372144911270333,0.11600449363031333,0.1893014609832041,-0.23764758714849357,-0.5368984568832712,-0.09707407401448885,-0.09059311838658718,0.1429821432054448,0.24917350560326954,0.02086587469731438,0.03226828181014487,0.13195177786767742,-0.21586514789543562,0.051607729029222504,0.056379259865386035,-0.04550111909673074,-0.1428684661652021,-0.10751835965047829,-0.1543764757690877,-0.008323472565978374,-0.40055061157113797,0.12002974440509744,-0.12260383913429133,0.2761105161925425,0.09918407044611981,-0.46014068963841565,-0.11983332309104888,-0.0757186173081467,-0.05971005743889379,-0.07034440386656474,0.09643402589529233,0.4399525773850569,0.11125294319475941,-0.22635202127971163,-0.33092877419509215,0.15672776189430757,-1.1585205490599144,-0.3803843088575298,0.3078005020153723,-0.13416476779439657,-0.19411571348918769,-0.14203740962778974,0.012244128974109056,-0.1899769889168803,-0.1951938370576618,0.5786446466956446,-0.2408081152285645,-0.15840672402962339,-0.2935675370957948,-0.10902167848508675,-0.03587814034851552,-0.2266539105272413,0.09447168980864085,0.005916985065166858,0.19463728819075418,-0.354074827692461,-0.2460880986100369,0.0023812212740128152,-0.1720268161191221,0.051250048768329524,0.1535847419048165,-1.149564096982428,-0.11701036109617298,0.05851518705258866,-0.2832591411568892,-0.9809016305675738,-0.39412712859438476,-0.08744783387033882,0.059033062167781945,0.056012751238648906,-0.0021316467128133947,0.12128364213850346,0.36906333570899225,0.21629425516914058,-1.0609540231016756,0.11428689110270795,-0.265992427458236,0.44944603189768856,-0.2919091587698341,-0.10465869898851606,0.10747544297977396,1.08693197016079,27,Enzalutamide_27_24
