,O00170,Q12797,Q07065,Q07020,Q05682,Q05519,Q01105,P98179,P84090,P62877,P62310,P62277,O00391,P60174,P56134,P55036,P54709,P52209,P48059,P43487,P30520,Q08752,Q13085,P29966,Q13347,Q9UHB6,Q9NZN3,Q9NS69,Q9NR12,Q9NPA8,Q9H444,Q9GZZ9,Q9BUN8,Q96BM9,Q96A72,Q92743,Q8NCA5,Q6PIU2,Q16643,Q15417,Q14108,Q13630,Q13442,Q13363,P30050,P61026,P28074,O60664,P09669,P06703,P15531,P20020,P20042,P08134,P02656,P20645,O75955,P04264,O43670,P28070,O43252,O14979,P25789,O15118,Q3SY69,Q09666,P11717,Q15057,Q15257,P06493,Q16270,P28072,Q9NR31,O94973,Q96S97,Q9NZ01,Q9BTT0,P06753,Q13557,O94855,Q13740,Q9BU23,P04439,Q14254,O00622,Q15428,Q15459,Q9BZZ5,Q14956,P08621,P62136,Q01995,P32322,P35625,P27816,P29317,P11388,Q02750,P68366,Inhi_5,pert_id,trial names
0,-0.7202620013014682,0.18577139835992065,0.19702544164023642,-0.5770297487314463,0.2330762441685231,-0.17796841204195857,-0.24676890714823285,0.13581999832551395,-0.8821171409020572,-0.08863777631038668,-0.1063139701567891,-0.6513919391707471,-1.4670979068190484,-0.1652087769667743,0.06662125762779246,-0.2807855805791596,0.3974169672970372,0.00800527325028106,-0.4955050420789708,-0.15573449005401943,-0.3238454115637298,-0.25085064562065473,-0.06373767945609081,0.5914127337049743,-0.17911931456801253,-0.026016103371791093,-0.0713072710856003,-0.1547570103419751,0.06585975509418851,-0.7111679030475401,-0.5035871836070783,0.22943486298448046,0.20667362008734516,0.2664306753754429,-0.009378413622823253,-0.4179668153126171,0.06093284555780784,0.03396760615055994,0.2082346476037045,0.02204786929025218,0.1973516758678049,-0.06848836365584325,-0.1661419754397005,-0.42103476903995357,-0.36687117009892467,0.24627110883013292,-0.17722803135320062,-0.33981218870303653,0.31954682813579627,0.16097346167475698,-0.11975205712810667,-0.18553472008431238,-0.31494898404324023,-0.2108996309150929,1.586795756663762,0.0894500581491593,0.016098479156841167,1.8162149223539086,-0.039024092839600975,0.12684357396066911,-0.12202551713004921,-0.23501756438000387,-0.30950913334517255,-0.2497874917165831,0.2513258272059841,-0.2634406209517397,0.9520121725652917,1.0496539060191379,-0.2626799519407216,-0.19237028175180204,0.3444840335241981,-0.5834917769037857,-0.32035093413089394,0.40396304171341296,0.10914069292738537,0.2481192599872426,-0.18764892457327234,0.21664551796649753,0.1480290211318103,-0.36552713259099034,0.4807950325775827,0.3558807133971745,0.17009413836580065,-0.6078279564212745,-0.3450621676784054,-0.2823780489773221,0.0822519520496122,-0.06105244746517582,0.26104327916015896,-0.5082035696381987,-0.09961446191674701,-0.11683022419523613,-0.14617365147118483,-0.41065987023778855,-0.07937368441974925,0.4710643536043977,-0.04282101007518824,-0.018956909667960403,0.6996586559236523,1.28742563113041,10,Abemaciclib_10_24
3,0.08061852646611646,0.30494343540880314,0.17445627174353592,-0.14225522692430534,0.05714606390577043,-0.12412924821542937,-0.06878360873468682,0.18552396909088417,-0.057411787464964496,0.6609238287760512,0.18626994284960016,-0.020699278657949304,-0.9120295126605503,-0.101427679791344,-0.1837120379245889,0.09070090836783891,0.20233629742077133,-0.010228112032825537,-0.7432977915572114,-0.12445340704411735,-0.05485908888536592,0.28520403723035115,0.09148153956079692,0.5271958817336428,0.04335019026094944,-0.03937978713221941,-0.3335574276835053,-0.5770087655563502,0.11074323525973878,0.0118217503192898,-0.14309877121007045,0.14129246749261318,-0.16243250099430345,0.2941849954677053,-0.21302823389327527,-0.0657329250696866,0.3475157370901261,-0.08509436077541231,0.10356162481218578,-0.023208547198698252,-0.2270805825507253,0.407931581037232,-0.08497359284720578,0.1657438875237853,-0.10200693490881907,0.03658581541306907,0.14729508853800055,-0.13817773420726864,-0.12032686354827134,0.10143443029431702,-0.21045279366945335,0.5202108455816129,-0.029882318400320462,-0.30948531134960716,0.9414841952599463,-0.21706019614977104,0.3170500784233939,1.1963722480098407,-0.39494967051905094,0.008939447144764542,0.07280838076989,0.1049310867399964,-0.30998299978551463,-0.31312666893332963,-0.2628429693674226,-0.1032574002897747,-0.3687641968200075,0.3989768320797986,0.2718207125612256,0.0070268558621973745,0.8322166214293171,0.11257922291221356,-0.3539358146862535,0.03390084207014279,0.07942007266211039,0.14332412199794656,-0.33961480358052415,0.1725859328300268,0.017830140285558498,-0.16892266857104218,0.3187443386249363,0.7101528289768044,0.2282697886086804,-0.5325368910483296,-0.30587446308737504,-0.20378811750631484,-0.11476887225272986,0.13341192127168158,0.1948379538533518,-0.171601369881376,0.09536098919991677,-0.10105140663376593,0.19794588815817812,-0.8612154030462786,0.061073934497850695,0.17980362025646787,-0.07166576986050817,-0.14752663169791227,0.8256785434286181,1.4663129120437401,8,Alpelisib_8_24
6,0.039124731115311645,0.14543231417879435,0.15800384429455958,-0.15638787565727977,-0.41974732965171535,0.11144558125812952,-0.26709465692349527,0.085825413576057,-0.8652182512785028,-0.008697418437688625,0.15035877842251272,-0.0694672505820047,-0.6705620754290611,-0.10448364128174054,-0.19262287385179847,0.04826045460817879,0.4024738952967866,-0.06048775544064076,-0.7389455128584638,-0.2557024686324792,0.00029308054121285343,0.097369203918374,-0.06998444709041308,-0.4738547557268528,0.05107269855945027,-0.2164729984658668,-0.02265413741581353,-0.1653796107277926,-0.5819247530736714,0.015654328285778063,0.059478130476953085,0.07148843080816526,-0.10067158774383204,0.15004847138798047,-0.22185594892550728,-0.5033189202107956,0.3553599993860764,-0.03105291809097775,-0.5882559526859729,-0.19558941844874048,-0.3987541719997327,-0.11067457179274302,-0.14525007231145792,0.1553964034352721,-0.045584735635774455,0.3206729669637514,-0.02140637483997911,-0.023948342934080102,-0.06822632231971132,-0.16904730066658635,-0.7580771447433275,0.28595961033539286,-0.2316037846237957,-0.19032382870244313,-0.035857501099251086,-0.03299300255373993,0.03229043624194492,0.9338778757546914,-0.3126527032059348,-0.173432671352448,-0.0245232311671519,0.05486539931285455,-0.03213127782828642,-0.2249793866832461,-0.32643846503395213,-0.22407194188212767,0.17476369821183604,0.23855808825493963,-0.3160488653289025,0.3182053658872393,0.029853244699563113,0.14907502739924175,-0.2799708697858942,-0.4260539257816982,0.06078777618342903,-0.10160368862926017,-0.06351563675800997,-0.3889574310708959,-0.022593036540465312,0.06739928443660101,0.10898853699784576,0.11845969671538248,0.0813919469419092,-0.7067008685520711,-0.7183006399987265,-0.039155362734468846,-0.24928424515514003,-0.07423242444980664,0.0908643121866376,-0.2510222236622784,-0.12665845344071627,-0.8431941581339614,-0.03655023295980161,-0.7790794377795174,-0.31180692455652675,0.00830906678444234,0.11206338780002434,-0.027559600517273613,0.4963189099677912,1.448152709,55,Anastrozole_55_24
9,0.010327081503645733,0.13799742323041583,0.1201214535126016,-0.15500945864502394,-0.4124640168314408,0.24096725855501802,-0.23424145830159868,-0.029998549029135,-0.6829360864732071,0.5208810410585939,0.27612017362800095,-0.131310809244915,0.5610092787989054,-0.025949782206130072,0.04404653513633045,0.3557916233102456,0.2685179164145472,-0.031194859219785893,-0.15397921926725813,-0.4159874518256285,-0.11128348316642145,0.11478819913355938,0.27660454410643104,-0.19198172538788483,0.12286715267910664,-0.15817681935564937,-0.014020177448512602,-0.45124925418611544,-0.391507863723805,0.18707810702884242,0.29594075936703995,0.06004441392775025,0.08168259894799967,0.17930731361535487,-0.07330240987416106,-0.34796695793767324,0.19233009134974374,-0.21883916514272325,-0.39445617295263774,-0.24894319175786914,-0.36054850661585974,0.34908072450370337,-0.4521097470657187,-0.01694825156932375,-0.025666199539701607,0.43561605211793286,-0.1435827750136648,0.034183317327962814,-0.37023940003047145,0.16746316905924477,-0.752749472857833,-0.5499943411970891,-0.49739237987070356,-0.11283090222165677,0.2571497692091828,-0.36890016460050984,-0.38497288549000247,0.22254032501349885,0.013719510420945324,0.036494659744999075,-0.11563793802408313,-0.1926631485306198,-0.03661683381415883,-0.054681315763627746,0.09569841318968646,-0.3284999064363521,0.2070617480042487,-0.5993906909493946,-0.04757983133408783,0.23995561064123314,0.3315596076614518,0.17775408581725635,-0.11030244282822947,-0.23024478796339642,0.453319863885995,0.3451181122196311,0.09597462366141092,-0.14623513558902484,0.3617985305360667,-0.03304188182332444,0.15568409873251585,-0.22410205926451313,0.13635713922955825,-0.3883744768564012,-0.3818643210053037,0.16533091710425354,-0.30294807126254725,0.09133775568527462,0.2770083871373924,-0.21255946678862625,-0.048141481323371565,-0.6798845616479837,0.42073724779314653,-0.9937362493050091,-0.19304613845380392,0.25410654914778236,0.24140148087174929,-0.293137486178263,0.14311074690873474,1.236982163,44,Bexarotene_44_24
12,-0.16898441576385181,0.3087642872316361,0.37160698681743515,-0.31550734008178277,-0.22515631468765218,-0.3495087856113868,-0.6485194584223216,-0.976532168589852,-0.8504538036070306,0.2076466383849409,-0.2803551079182807,-0.18461831292366884,-0.5515247286807631,-0.4146857210102091,-0.35748784675246476,-0.6423879613721181,0.5630630034557963,-0.24039311475918668,-0.5077548143288486,-0.21469957706807105,-0.2809800718673509,-0.09173356030275459,0.5226991476837867,-0.06872861252789679,-0.21651106342308768,-0.6455438693480334,-0.04795137618178616,-0.3069174696123844,-0.2839239457270201,-0.3423583043686398,-0.6498520671169045,-0.3402661662431958,0.03923146124762613,0.48950650690356473,-0.4818687443710237,-0.39134804498144593,0.419660255423231,-0.016358758860962292,-0.11699250468186284,-0.3323370794576494,-0.17409204427378513,0.1487407570822267,-0.6223281035553968,-0.5297571491467227,-0.03905547382775412,0.3558559816274154,-0.39324330195165386,-0.2925969577075889,-0.1086929091157063,0.2778573764716991,-0.6987142950237398,0.4073201074523065,-0.18077436891450438,-0.28091721987375234,1.6264124351141032,0.2657321582533976,-0.2315501971453403,0.3959823457324898,-0.4289551159177695,-0.45953251958461533,0.09714905459848498,-0.30642433952063497,-0.5920770891411186,0.17225864325447282,0.198489866274673,-0.7016823344622957,0.09722119118390131,1.099985697329582,-1.3006063948677407,-0.026376591502020593,1.8820814695819887,-0.3603367924776773,0.12313128140468711,0.031211283594807016,-0.21320646405806354,0.33718178549905015,-0.12784991504893448,-0.16240518309073831,-0.6120598977994399,-0.17535285788851165,0.4051158346423825,1.1036984113797856,0.6638076354664187,0.15087327165692868,-0.2775899464324351,-0.8491376125462339,-0.4134810631671284,-0.5940230039272711,0.3830854228754612,-0.3258289555057436,-0.2843547456932583,-0.5003532218711995,-0.340396069483935,-0.6944164522417514,-0.4229317632883014,-0.3734248321748906,0.019363308889221924,-0.2826135940705044,0.8390289860710922,1.08544595357684,26,Bosutinib_26_24
15,0.30512501214817256,0.29680106875628287,0.14508325059592003,0.005829131254307351,-0.4101742817696332,-0.05832229883371967,-0.3708310047116903,0.11861523648522286,-0.8644003907285963,0.4342370818876821,0.1875061034542642,0.07575594894386693,-0.7678119039498991,-0.11269254059746163,0.03162563346729924,-0.0161809729546825,0.4578540461244984,-0.023491716179669154,-0.2441162380532508,-0.530244202542287,-0.24915019562523252,-0.017472924720971467,0.2979575332487322,-0.36132090217641183,0.08846574555283769,-0.2753551538968336,-0.029629711512972435,-0.33365283197702206,-0.520544374498166,-0.5362557885987141,-0.09181403518085185,0.3162474494871147,-0.039719396621593406,-0.057980071102895804,-0.39455843685925496,-0.9676420173891568,0.14696023071015443,0.1005814397551612,-0.29989842884646706,-0.2524272546321828,-0.1838316598112699,0.08998146724332949,-0.07812303818842026,0.3008702714025569,0.007659311855602482,0.07613650151920433,-0.15015421558892936,-0.08946108809878557,-0.3597104731949574,0.17241366987237527,-0.7615567162361904,0.2512826601999351,-0.0013828683361072625,-0.2148733892084362,0.5289243730981972,0.3144121312193528,-0.056547213576000226,0.5423590326680108,-0.12694789138041046,-0.20699409864821952,0.5748625869854952,-0.24096685644589522,-0.29936582904847253,-0.32791724144284856,0.08217633307908527,-0.15609766194760424,0.26716716205493585,0.27647941106162716,-0.3841263816813969,0.18710312489980688,-0.010531502930803344,-0.3455722536542336,-0.1807356872962842,-0.19592585609362367,0.03606544637746787,0.4157874552159266,-0.26951685107838846,-0.44218864910590067,-0.07192477719029583,-0.16179605082301776,0.1595184833639029,0.47477809296514545,0.2446770589838261,-0.08444408759546335,-0.30259139944008057,-0.18411473969264516,-0.33107371109735806,-0.22435255257030842,0.06264347148561651,-0.24660144276214999,-0.15029342227085576,-0.7311593296410478,0.06650474887370812,-0.608159112309313,-0.2673074113579355,0.19223917998195986,0.1372219434384674,-0.33015909298200063,0.08230546036707882,1.189296429,73,Chlorambucil_73_24
18,0.25294697963291607,0.06428088429036892,0.09296552132083291,-0.2591004292108893,0.1894832668629994,-0.09702527489725687,-0.3318925169554075,0.14677876431266026,-0.7319930314466188,0.6135231765048973,0.07964566428741894,-0.11176897968270309,-1.2689116770800766,-0.17950787511420283,-0.21943309927086385,0.20522963445144046,0.15814802953238608,0.08138672900656682,-0.8725865486382874,-0.14104337700255576,-0.5660703396038556,-0.38406295363277504,0.22065251111152043,0.6186103375133504,-0.11006268083572361,0.09203137148782874,-0.18198886972926498,-0.4375939328088975,0.08287078544209935,-0.30355943589978646,-0.040241109736835694,0.4490215198932573,-0.19779070456422618,-0.03339202174906485,-0.3135622096963885,0.08408291553010665,-0.09792248605244373,-0.12902319997899503,-0.05469544540258311,-0.10186928135165853,-0.42643982306497846,-0.01637343254973694,-0.4098415418140098,0.12328643897096925,-0.0835440984662701,0.14309580638857355,-0.04646481891387035,-0.10072634697366507,0.025604179501814484,-0.08260417371380181,-0.46527828567625834,-0.3535566481717162,-0.2718555326078084,-0.35697726102975463,0.3665870859853004,0.1190352625986389,-0.2589192350005334,-0.3340112153513541,-0.7662126786087926,-0.09095972603858282,-0.21181206293667784,-0.1261226371120503,-0.20956790296713235,-0.10843193446634429,0.05569342366080146,-0.1972345343872209,0.05491753895531643,0.045349559843327884,-0.2303015125565321,-0.7203087043670987,0.15726896965407647,0.018506130601503825,-0.2359654189596482,-0.35044412501917005,-0.4360131205713144,0.13039709167570537,-0.6370470711718053,-0.08779695880823525,-0.23373801405229166,-0.08575218025027075,0.5449298570468886,0.23128621708303979,0.44931176642407306,-0.2093486727469919,-0.5470235904935211,0.06586123091621289,-0.1789832583254666,0.1790259155293009,0.520331784859371,-0.411426044811384,-0.09146470331620486,-0.05851984783016461,0.04039263548116131,-1.2798239415105142,-0.1331978388188997,-0.13367703231783856,-0.6752277024695434,-0.10786007546263915,-0.3372941694682754,1.43989314336598,17,Cobimetinib_17_24
21,-0.12382983168517438,0.4160758939593685,0.33608246519242774,-0.2609830538289658,-0.5089078776429395,-0.391738994341513,-0.280164004146544,0.07704674942354646,-0.5570198443661883,0.42030008338841623,-0.06877347201893406,-0.13087106049470612,-0.31035148063996854,-0.0478004503017549,0.08659758751286722,0.1225514082226608,0.32110475111593834,0.0687409269171856,-0.35525529111698145,-0.4299984332895846,-0.2781116512312778,0.2892200954493438,-0.03027341268378131,-0.5782859930757333,-0.16685333357594598,-0.47677954851199783,-0.021908577911614404,-0.1677013107796476,-0.4523838515884952,-0.08872440272032704,-0.18084871434091263,0.20247984729270666,-0.28341689079985105,0.28698651963957095,-0.3430503011788437,-0.08910882951313774,0.11578892993845384,0.2855024552500251,-0.28618347586848486,-0.7291524881261227,-0.19023582351957927,0.28992809988107965,-0.007063100383341579,0.05807609019374543,-0.10146221792537953,0.3535422720775773,0.007020937474753315,0.07308358322137674,0.27947593963267775,0.24713367483046553,-0.5611504637446076,0.40989604041304456,-0.14195953087538293,-0.188957845975232,1.176009193405714,-0.09376734100516552,0.11379368576577976,1.74113485218876,-0.3293258716508736,-0.015082942331069252,0.23445713851511926,-0.15834401515172541,-0.1371833419852419,0.0348228877898095,0.38577164276667303,-0.293174329239814,0.2387255637372846,0.6742601165926011,-0.10976351873640418,0.04357494216068578,0.9762999912049141,-0.029562744637169746,-0.1687544536203109,0.12729752395232588,-0.380258976637701,0.17402739563829575,-0.16418016854066605,-0.6759986082870514,0.06120806084838993,-0.013049713340555666,0.30053775849001796,0.4558822784227252,0.4653298840003086,-0.07696559129187162,-0.7297377114045339,-0.39484302508573355,-0.6210117949414221,-0.2353795425130076,0.34007898734215475,-0.16858138536442113,-0.17332174311526097,-0.6007277229344204,-0.011656940617003573,-0.5485836890819387,-0.24648359188148428,0.2857674087542747,-0.16066737525299526,-0.43420909694052656,0.14775156058146974,0.8804682685999999,34,Dasatinib Hydrate_34_24
24,0.11382318496838285,0.25186234309094396,0.32599643553032265,-0.2655289492528749,-0.4326868479822242,0.015230658218980885,-0.4971430162554748,-0.05869322377188877,-0.7600286170585019,0.49973019348950265,-0.13086648071051568,-0.13636544914368462,-0.24242619007309138,-0.06820832743391696,-0.07803730412937372,0.11865881780550787,0.3182562402964359,-0.03833259728638507,0.1648706458855571,-0.4545249601465698,-0.16395630066529598,-0.07443296934162433,0.14501070554946927,-0.6899408590912236,0.05763401517822159,-0.4260767157941911,0.024967353738749403,-0.29962843950255375,-0.4326601667142702,-0.4347778233945236,-0.24442382363022794,0.20750236255826118,0.031011787926604455,0.21172827849122802,-0.4637486978536378,-0.22912465641564964,0.40274048279368607,0.09167135918488928,-0.37379502039098905,-0.2488987846507218,-0.2881787759511198,-0.2593646644606972,-0.23711253885431394,0.007433186703421297,-0.0959973293015437,0.34282540299186043,-0.03476449005675374,-0.0420168065357697,0.43523376457730906,0.11673615229953567,-0.7839323049842498,0.5111145888360511,0.008401769801112355,-0.09516905596228613,0.7364389452606842,0.1565081861819707,0.3881148574803452,1.9899628985740374,-0.46307431282320977,-0.24814648361708927,0.11404000192702296,-0.022213341930469237,-0.09094130081127887,-0.13767241690113152,-0.02904318732026952,-0.34646821951015805,0.3378365643478635,0.3342518856992052,-0.3890764906912099,0.2717181570011466,0.6128923139097261,0.0440888412667503,-0.04958929776243301,0.2805582018896907,-0.16742877867211203,0.19824358644949713,-0.36263427665225384,-0.4315805596907483,-0.1963466059907916,0.008011483294057048,0.3026333976787094,-0.1325160067740827,0.3177051901223737,-0.29107261386260364,-0.11003507693359742,-0.06775402625293438,-0.3831377305382797,0.03384248443913654,0.31611022071889455,-0.1947689722728777,-0.24978134970068588,-0.7257833437533173,0.4095048335007831,-0.4528371148341992,-0.20295025550079326,0.1028492548663913,0.6679099185919716,-0.07238372084781282,0.4790839268972467,0.9035098522,53,Docetaxel_53_24
27,0.07740108144635673,0.5109476347062237,0.5227844662379263,-0.649107340434973,0.0025470683287429443,-0.355128176966989,-0.32163858396825185,-0.2043719514211084,-1.3384277770620354,-0.4461375528900622,-0.33327676786357713,-0.4214913399093705,-0.7301303774890792,-0.1027174670110265,0.13483307816198864,-0.11019725124508169,0.2743402440069407,0.03054431183715739,-0.3925646472103372,-0.27093541238491553,-0.1820239159522846,0.08451115513329237,0.15434605697463946,0.13077562235931273,-0.06323416202995145,-0.3974451516615402,0.2714867157192011,-0.23130254594681876,-0.15235816355495232,-1.2425319190663506,-0.020941873522872925,0.37419604953507335,0.33542746611246327,0.444225624605655,-0.4526353762964781,0.9735850808923243,0.08215667160484684,0.5210469514763021,-0.14469444167470422,-0.18872521712387755,-0.03552551950640211,0.24987656056247878,-0.12442592201667552,0.0930611769326739,-0.34830588862506723,0.5887579228523042,-0.22191151761613348,-0.3022281981497663,0.21714316340516468,0.23056804968446146,-0.7696023469193488,-0.22397600345748003,0.12589888812113795,0.22928261599210517,0.8242365197607416,0.43504927538733895,0.5971128167536759,1.2317135098493797,-1.0115609442270646,-0.4856123175813611,0.22627129986527753,-0.2891341787249429,-0.364620270571383,-1.022290706104637,0.28884335849728054,-0.567280910692178,-0.18603460528573565,0.5824807580230411,-0.3005779005209673,0.3140736205581327,0.021864431096611143,-0.3484872174692801,0.07823225687615257,0.06723055551167956,0.18822865423713542,0.6313201917083854,-0.07569556728562188,-0.3588681924861749,0.3384937317107665,0.05975126771828965,0.4130566648573861,0.5218542944638482,-0.21839920763691367,-0.06824089589553868,0.022160333100975455,-0.02150391239618164,-0.6834841873894288,-0.355967054971236,0.3381631076095104,-0.3133273947544423,-0.4088222240709634,-0.06556334995330848,0.1280425748798498,-0.17581523353925252,-0.31624653398284175,0.010833537815479355,0.49874003365701314,-0.010910762456991055,-0.1133306655440397,1.1014220000000001,54,Doxorubicin_54_24
30,-0.04430800637701804,0.25875253771595647,0.29773909321061737,-0.353673273442839,-0.5951571293405844,-0.38127270954334697,-0.701691326716093,-0.1940139365406004,-0.7130289459616984,-0.0589276243451044,-0.2834971496777193,-0.14045808395787812,0.020657726661871195,-0.584021251203643,-0.2999480131746465,-0.1902947494388025,0.5608093127390531,-0.48716278080349773,-0.5455181851430213,-0.4601017115793617,-0.19587782968578824,-0.22176963311914483,0.655831775148447,-0.0066538598651126775,-0.6800951951843559,-0.6280916382428974,-0.2756121004130263,-0.3660888350950325,-0.6712876554828312,-0.5925580134457923,-0.3154961171213179,0.06049520844224628,0.6043206821570067,0.5582417876454002,-0.13615669809519734,0.5623774796513935,0.38847180478142934,0.23585180975681333,-0.48639760198093374,-0.8614009326530542,0.08224707592578435,0.04655160357818055,-0.4679839588869492,-0.548591431562938,-0.2958407660548874,0.46880952822709415,-0.5128371185472936,-0.5239267648309722,0.32307400639310485,0.06443927928630956,-0.8676830065059198,0.5487865014049413,-0.6131684931168342,0.003724732562545389,2.0966112024524137,0.45457208185335496,0.4967011753633515,1.7045602219670475,-0.9246864818046158,-0.6410005343325637,0.13120348166311555,-0.1724580708658401,-0.732777006749216,-0.03724163585388964,0.11478493448905208,-0.5905816845921896,0.0869940499664471,0.4836499593340779,-0.9795845538548025,-0.14451150302769872,1.949992015578654,-0.20583608264011868,0.08565455375101168,-0.37461761500198687,0.17195562656527189,0.43461147629928387,-0.5454067887455043,-0.20561868504270864,0.272853400998409,0.08736411555523656,0.16106991749070151,0.801152372714542,0.6570062644458532,-0.333993405608753,0.22696997068908045,-0.29356672703556014,-0.3370459847505563,-0.6323265520440802,0.5653404990479984,-0.255653163320378,-0.36101361070846627,-0.660681733363845,0.5178456025343069,-0.20504542504707524,-0.6006602460514449,0.44018395658520965,0.7333679071589222,-0.3562268292185764,0.5402048371714158,0.9710564399421131,7,Entrectinib_7_24
32,-0.19292450922656532,0.1893014609832041,0.11600449363031333,-0.11608979635056292,-0.20105207123452792,-0.04303748084083075,-0.20097187813302,0.07493495469008855,-0.72029040986186,0.1670130854290545,0.059033062167781945,-0.2250197399403511,-1.149564096982428,-0.1095384792920908,-0.032337870680276326,-0.09310382091575742,0.337562860489024,0.031152023075653845,-1.0609540231016756,-0.40139583867550616,-0.03678246050982597,0.10593529100727313,-0.5368984568832712,0.14743915388830733,0.12002974440509744,-0.13569865771959436,-0.09707407401448885,0.005916985065166858,-0.09059311838658718,0.1429821432054448,0.09447168980864085,0.24917350560326954,0.02086587469731438,0.13195177786767742,-0.2408081152285645,-0.21586514789543562,0.051607729029222504,0.056379259865386035,-0.04550111909673074,-0.2171877795848105,-0.1428684661652021,-0.10751835965047829,-0.008323472565978374,-0.40055061157113797,-0.0951385405309882,0.2761105161925425,-0.05372144911270333,-0.0021316467128133947,-0.0757186173081467,-0.11983332309104888,-0.3803843088575298,0.09643402589529233,-0.07034440386656474,-0.39412712859438476,0.5786446466956446,-0.05971005743889379,0.4399525773850569,-0.33092877419509215,-1.1585205490599144,-0.12260383913429133,0.15672776189430757,0.11125294319475941,-0.23764758714849357,-0.22635202127971163,0.11428689110270795,-0.1684715133529887,0.051250048768329524,-0.14203740962778974,-0.15840672402962339,-0.09659030305745675,0.3779133138340025,-0.08181631140936443,-0.3475580150425955,-0.2935675370957948,-0.2266539105272413,0.19463728819075418,0.03226828181014487,0.0023812212740128152,-0.1543764757690877,-0.10902167848508675,0.3078005020153723,0.36906333570899225,0.03851496833237219,-0.0791261782780555,-0.354074827692461,-0.16023496893690364,-0.22950346444536077,0.08759873202089563,0.016006407813769993,-0.32900503432917017,-0.2621240383727934,-0.2832591411568892,-0.017763706232419556,-0.9809016305675738,-0.10465869898851606,0.44944603189768856,-0.2919091587698341,-0.265992427458236,0.10747544297977396,1.08693197016079,27,Enzalutamide_27_24
